Model,Fold,Train_F1,Test_F1
RealMLP,1,0.6018390804597701,0.5135135135135135
TabM,1,0.5681774388368459,0.5441611824590549
RealMLP,2,0.5649493435100631,0.7088388698295819
TabM,2,0.5619991623621388,0.6216216216216216
RealMLP,3,0.6268684298147709,0.6527777777777778
TabM,3,0.5572345055942748,0.6858628841607565
RealMLP,4,0.523336967648672,0.7315789473684211
TabM,4,0.5759101526838186,0.7912280701754386
RealMLP,5,0.5916873956253137,0.4538461538461538
TabM,5,0.5640051851592335,0.5962153812203465
