Model,Train_F1_mean,Train_F1_std,Test_F1_mean,Test_F1_std
RealMLP,0.5817362434117179,0.039472582748140105,0.6121110524670896,0.12252742951535309
TabM,0.5654652889272624,0.00704170907306121,0.6478178279274436,0.09501010178680971
